Vuosi,y_coord,x_coord,Onnettomuustyyppi 1
2010,6673928,3382927,21 Rakennuspalo
2010,6679718,3397255,21 Rakennuspalo
2010,6678065,3387422,21 Rakennuspalo
2010,6677039,3384074,21 Rakennuspalo
2010,6674336,3385114,21 Rakennuspalo
2010,6686866,3395745,21 Rakennuspalo
2010,6692642,3393010,21 Rakennuspalo
2010,6687895,3375390,21 Rakennuspalo
2010,6683730,3381862,21 Rakennuspalo
2010,6673769,3385694,21 Rakennuspalo
2010,6677615,3392505,21 Rakennuspalo
2010,6682046,3395576,21 Rakennuspalo
2010,6674980,3384977,21 Rakennuspalo
2010,6676607,3384413,21 Rakennuspalo
2010,6686114,3389613,21 Rakennuspalo
2010,6675401,3391253,21 Rakennuspalo
2010,6674856,3386171,21 Rakennuspalo
2010,6675063,3367780,21 Rakennuspalo
2010,6688882,3375394,21 Rakennuspalo
2010,6674656,3387310,21 Rakennuspalo
2010,6683708,3381204,21 Rakennuspalo
2010,6683214,3383987,21 Rakennuspalo
2010,6680793,3373970,21 Rakennuspalo
2010,6679435,3386275,21 Rakennuspalo
2010,6684528,3391072,21 Rakennuspalo
2010,6678649,3387163,21 Rakennuspalo
2010,6679702,3394580,21 Rakennuspalo
2010,6673994,3377452,21 Rakennuspalo
2010,6679794,3387356,21 Rakennuspalo
2010,6679326,3392405,21 Rakennuspalo
2010,6679726,3377819,21 Rakennuspalo
2010,6684894,3392865,21 Rakennuspalo
2010,6681633,3388706,21 Rakennuspalo
2010,6689369,3392821,21 Rakennuspalo
2010,6678352,3396105,21 Rakennuspalo
2010,6694609,3394166,21 Rakennuspalo
2010,6679772,3387481,21 Rakennuspalo
2010,6678055,3396177,21 Rakennuspalo
2010,6676890,3386883,21 Rakennuspalo
2010,6680014,3396817,21 Rakennuspalo
2010,6676492,3384716,21 Rakennuspalo
2010,6689174,3391492,21 Rakennuspalo
2010,6679356,3376723,21 Rakennuspalo
2010,6675420,3390088,21 Rakennuspalo
2010,6675873,3392498,21 Rakennuspalo
2010,6677599,3390148,21 Rakennuspalo
2010,6674362,3386411,21 Rakennuspalo
2010,6677765,3383641,21 Rakennuspalo
2010,6673832,3385653,21 Rakennuspalo
2010,6679140,3397578,21 Rakennuspalo
2010,6673656,3385882,21 Rakennuspalo
